Country,ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
France,Common stingray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Dogfish sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,4845,462,167,266,248,326,236,204,298,723,1243,3259,3610,3421,3125,3135,2811,2288,3077,4224
France,Dogfish sharks nei,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
France,Eaton's skate,"Indian Ocean, Antarctic",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Gulper shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Kerguelen sandpaper skate,"Indian Ocean, Antarctic",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Kitefin shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Leafscale gulper shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Little sleeper shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Longnosed skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,19,104,102,71,0,200,94,139,156,258,393,387,347,359,346,311,327,194,140
France,Longnosed skate,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Mediterranean starry ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Mediterranean starry ray,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Mouse catshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Pelagic stingray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Rays and skates nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,12538,21537,7343,7687,6435,3242,3932,4679,5294,3994,3954,3846,3276,3438,2967,2752,2902,3196,2870,3408,3111
France,Rays and skates nei,"Atlantic, Northwest",Capture production,Tonnes - live weight,471,207,0,54,624,787,660,180,134,95,3,0,0,0,0,0,0,0,0,0,0
France,Rays and skates nei,"Indian Ocean, Antarctic",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,"Rays, stingrays, mantas nei","Atlantic, Eastern Central",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,"Rays, stingrays, mantas nei","Atlantic, Southeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,"Rays, stingrays, mantas nei","Atlantic, Southwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,9,3,1,0,0
France,"Rays, stingrays, mantas nei","Indian Ocean, Antarctic",Capture production,Tonnes - live weight,0,0,0,1,17,7,0,0,0,0,0,0,0,0,2,0,0,4,21,30,87
