,species,body.mass,brain.mass,bearing.mode,trophic.mode,repro.coarse,max.size,habitat,mean.depth
65,Carcharhinus_brachyurus,2185,9.140299236,live-bearing,matrotroph,matrotrophic_lb,275,Shelf,50
66,Carcharhinus_amblyrhynchos,25540,35.28,live-bearing,matrotroph,matrotrophic_lb,190,Shelf,25
67,Carcharhinus_longimanus,40000,35.4,live-bearing,matrotroph,matrotrophic_lb,285,Pelagic,76
68,Carcharhinus_leucas,80383.33333,43.85,live-bearing,matrotroph,matrotrophic_lb,300.2,Shelf,91
69,Carcharhinus_plumbeus,16400,21.86,live-bearing,matrotroph,matrotrophic_lb,226.5,Shelf,50
70,Carcharhinus_obscurus,12000,20.76,live-bearing,matrotroph,matrotrophic_lb,357.2,Shelf,200
71,Carcharhinus_falciformis,97960,51.48,live-bearing,matrotroph,matrotrophic_lb,305,Pelagic,259
72,Carcharhinus_albimarginatus,5000,24.792,live-bearing,matrotroph,matrotrophic_lb,300,Shelf,100
73,Carcharhinus_dussumieri,1900,6.276,live-bearing,matrotroph,matrotrophic_lb,100,Shelf,50
74,Galeocerdo_cuvier,148600,19.85,live-bearing,lecithotroph,lecithotrophic_lb,410,Shelf,70
75,Negaprion_acutidens,1740,10.07,live-bearing,matrotroph,matrotrophic_lb,240,Shelf,15
76,Negaprion_brevirostris,14250,14.03,live-bearing,matrotroph,matrotrophic_lb,293.6,Shelf,46
77,Prionace_glauca,75370,18.83,live-bearing,matrotroph,matrotrophic_lb,341.8,Pelagic,76
78,Rhizoprionodon_acutus,3375,13.225,live-bearing,matrotroph,matrotrophic_lb,110,Shelf,100
79,Rhizoprionodon_porosus,3750,7.18,live-bearing,matrotroph,matrotrophic_lb,108,Shelf,50
80,Rhizoprionodon_taylori,1426.113,4.124,live-bearing,matrotroph,matrotrophic_lb,78.4,Shelf,50
81,Scoliodon_laticaudus,NA,2.1945,live-bearing,matrotroph,matrotrophic_lb,74,Shelf,5
82,Triaenodon_obesus,15000,17.71,live-bearing,matrotroph,matrotrophic_lb,160,Shelf,50
83,Hemigaleus_australiensis,2330,5.17,live-bearing,matrotroph,matrotrophic_lb,NA,Shelf,91
84,Gollum_attenuatus,1045,2.7824,live-bearing,matrotroph,matrotrophic_lb,109,Deep,319.5
85,Apristurus_sinensis,1450,2.78785,egg-laying,lecithotroph,egg-laying,NA,Deep,537
86,Apristurus_platyrhynchus,180,0.66,egg-laying,lecithotroph,egg-laying,85,Deep,759
87,Asymbolus_analis,320,0.94,NA,NA,NA,NA,NA,NA
88,Asymbolus_rubiginosus,260,0.8,egg-laying,lecithotroph,egg-laying,54.9,Deep,282.5
89,Bythaelurus_dawsoni,200,0.8381,live-bearing,lecithotroph,lecithotrophic_lb,41.5,Shelf,50
90,Cephaloscyllium_laticeps,179.9333333,0.573666667,egg-laying,lecithotroph,egg-laying,100,Shelf,30
91,Cephaloscyllium_isabellum,2802,1.784,NA,NA,NA,NA,NA,NA
92,Cephaloscyllium_albipinnum,1066.66,1.327333,egg-laying,lecithotroph,egg-laying,110,Deep,340
93,Figaro_boardmani,200,0.87,egg-laying,lecithotroph,egg-laying,61,Deep,475.5
94,Galeus_melastomus,950,2.538,egg-laying,lecithotroph,egg-laying,67,Deep,450
95,Galeus_polli,160,0.76,live-bearing,lecithotroph,lecithotrophic_lb,42,Deep,350
96,Poroderma_pantherinum,1050,2.07,egg-laying,lecithotroph,egg-laying,84,Shelf,10
97,Scyliorhinus_stellaris,3250,2.85,egg-laying,lecithotroph,egg-laying,162,Shelf,90
98,Scyliorhinus_canicula,955.5,1.295,egg-laying,lecithotroph,egg-laying,71,Shelf,55
99,Sphyrna_mokarran,148500,99.14,live-bearing,matrotroph,matrotrophic_lb,580,Shelf,40
100,Sphyrna_tiburo,1374,6.485,live-bearing,matrotroph,matrotrophic_lb,104,Shelf,40
101,Sphyrna_zygaena,17500,49.688,live-bearing,matrotroph,matrotrophic_lb,385,Shelf,35
102,Sphyrna_lewini,55710,59.88,live-bearing,matrotroph,matrotrophic_lb,331,Shelf,140.5
103,Galeorhinus_galeus,12183.33333,10.37867585,live-bearing,lecithotroph,lecithotrophic_lb,164.5,Shelf,236.5
104,Mustelus_asterias,800,3.088,live-bearing,matrotroph,matrotrophic_lb,150,Shelf,50
105,Mustelus_antarcticus,581,3.835,live-bearing,matrotroph,matrotrophic_lb,175,Shelf,91.5
106,Mustelus_canis,6500,8.31,live-bearing,matrotroph,matrotrophic_lb,132,Shelf,290
107,Mustelus_lenticulatus,2288.575,5.967780934,live-bearing,matrotroph,matrotrophic_lb,137,Shelf,110
108,Triakis_semifasciata,1194,3.46,live-bearing,lecithotroph,lecithotrophic_lb,145,Shelf,47.5
109,Heterodontus_francisci,2930,4.3,egg-laying,lecithotroph,egg-laying,120,Shelf,10
110,Heterodontus_portusjacksoni,475,2.552,egg-laying,lecithotroph,egg-laying,123,Shelf,86
111,Chlamydoselachus_anguineus,3550,3.39,live-bearing,lecithotroph,lecithotrophic_lb,196,Deep,1000
112,Heptranchias_perlo,2120,1.94,live-bearing,lecithotroph,lecithotrophic_lb,140,Deep,346
113,Hexanchus_nakamurai,20200,9,NA,NA,NA,NA,NA,NA
